Token,Mean_Abs_SHAP
8th,0.21138078696094453
arguing,0.15001673507504165
nordic,0.14829479856416583
bags,0.13825207110494375
money,0.12973886169493198
windows,0.1252226352225989
ui,0.11095991334877908
socialism,0.1093607172369957
ify,0.10834582103416324
uh,0.10579187609255314
